date,channel_id,video_id,live_or_on_demand,subscribed_status,country_code,playback_location_type,playback_location_detail,views,watch_time_minutes,average_view_duration_seconds,average_view_duration_percentage,red_views,red_watch_time_minutes
20231225,UC7zbbglcdBEvi9C3W_K7DCQ,2bh5NkMaLm8,on_demand,not_subscribed,IN,0,unknown,1,1.9716666666666667,118.3,2.2270331325301207,0,0
20231225,UC7zbbglcdBEvi9C3W_K7DCQ,bGXNBLQozkc,on_demand,not_subscribed,IN,0,unknown,3,3.2462833333333334,64.925666666666658,1.7217095376999911,0,0
20231225,UC7zbbglcdBEvi9C3W_K7DCQ,f2nce-SulGg,on_demand,subscribed,IN,10,unknown,1,0.085,5.1,24.285714285714285,0,0
20231225,UC7zbbglcdBEvi9C3W_K7DCQ,tA4fzezJ3sc,on_demand,not_subscribed,IN,0,unknown,1,1.2733333333333334,76.4,1.6966466799911171,0,0
20231225,UC7zbbglcdBEvi9C3W_K7DCQ,3qnekV01J9k,on_demand,not_subscribed,IN,0,unknown,9,2.4637,16.424666666666667,0.46674244577057877,0,0
20231225,UC7zbbglcdBEvi9C3W_K7DCQ,Y6TtP54oNBk,on_demand,not_subscribed,IN,0,unknown,1,2.2972,137.832,3.6883061279100882,0,0
20231225,UC7zbbglcdBEvi9C3W_K7DCQ,oPrWAuUsxgw,on_demand,not_subscribed,IN,10,unknown,1,0.066666666666666666,4,36.363636363636367,0,0
20231225,UC7zbbglcdBEvi9C3W_K7DCQ,kEvVnZOjmgs,on_demand,subscribed,IN,0,unknown,1,5.0466666666666669,302.8,10.0099173553719,0,0
20231225,UC7zbbglcdBEvi9C3W_K7DCQ,HeAYXvZy0Wg,on_demand,not_subscribed,IN,0,unknown,1,0.033333333333333333,2,0.039408866995073892,0,0
20231225,UC7zbbglcdBEvi9C3W_K7DCQ,6JUDzr3TZ6Y,on_demand,subscribed,IN,0,unknown,1,3.1866666666666665,191.2,11.920199501246882,0,0
20231225,UC7zbbglcdBEvi9C3W_K7DCQ,ZNZcnqaufJ4,on_demand,not_subscribed,IN,0,unknown,1,0.063333333333333339,3.8,0.060413354531001592,0,0
20231225,UC7zbbglcdBEvi9C3W_K7DCQ,BWX4_McBmQc,on_demand,subscribed,IN,0,unknown,1,0.58166666666666667,34.9,2.0773809523809526,0,0
20231225,UC7zbbglcdBEvi9C3W_K7DCQ,g6YOeq9ZoWc,on_demand,subscribed,IN,0,unknown,2,2.43,72.9,2.0506329113924049,0,0
20231225,UC7zbbglcdBEvi9C3W_K7DCQ,hPLbxYZPZ-s,on_demand,not_subscribed,IN,0,unknown,1,24.402866666666668,1464.172,19.444515272244356,0,0
