date,channel_id,video_id,live_or_on_demand,subscribed_status,country_code,playback_location_type,traffic_source_type,device_type,operating_system,views,watch_time_minutes,average_view_duration_seconds,average_view_duration_percentage,red_views,red_watch_time_minutes
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,MQSg-52J5Rw,on_demand,not_subscribed,IN,0,5,104,4,1,0.2,12,0.38436899423446508,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,xOB7XrJOHVw,on_demand,not_subscribed,IN,0,5,104,4,1,0.23333333333333334,14,0.27137042062415195,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,CNWZDlab8r0,live,subscribed,IN,0,3,104,4,29,189.14166666666668,391.32758620689657,5.7582046234093074,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,gwqTwGMRRwE,on_demand,not_subscribed,IN,0,3,101,2,3,6.234116666666667,124.68233333333335,1.1167248843110913,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,FpI_cVtlrgk,live,not_subscribed,IN,0,4,101,2,1,0.61856666666666671,37.114,0.60201135442011355,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,CNWZDlab8r0,live,subscribed,IN,7,3,104,4,6,2.25,22.5,0.33107710417892877,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,G2tnAWQMdbE,on_demand,subscribed,IN,0,4,104,4,1,1.8783333333333334,112.7,1.6295546558704452,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,MBq8uE2jMhE,on_demand,subscribed,IN,0,4,104,4,1,0.083333333333333329,5,0.1218026796589525,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,gwqTwGMRRwE,on_demand,not_subscribed,IN,7,3,101,2,2,1.2349833333333333,37.0495,0.33183609493954319,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,CNWZDlab8r0,live,not_subscribed,IN,0,7,105,4,8,4.53,33.975,0.49992642731018244,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,CNWZDlab8r0,live,not_subscribed,IN,0,7,104,4,34,26.758333333333333,47.220588235294116,0.694829138247412,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,bGXNBLQozkc,on_demand,subscribed,IN,0,7,104,4,1,0,0,0,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,Lwrw6qSBwog,on_demand,subscribed,IN,10,4,104,4,1,0.11666666666666667,7,11.666666666666666,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,xOB7XrJOHVw,on_demand,subscribed,IN,0,18,104,4,2,0.31833333333333336,9.55,0.18511339406861796,2,0.31833333333333336
